test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,T_round,energy_savings
68918, 2019-06-14T01:12:01+02:00,10,16,2203,4,2,96984.0,29.93051297153051
68919, 2019-06-18T02:30:01+02:00,10,16,27015,4,2,97045.0,34.00498320875312
68920, 2019-06-19T11:10:01+02:00,10,16,25621,4,2,97076.0,31.312115199940607
68921, 2019-06-13T01:45:01+02:00,10,16,24507,4,2,97045.0,30.548293435177044
68922, 2019-06-16T04:39:01+02:00,10,16,8936,4,2,96984.0,29.946954578166903
68923, 2019-06-14T06:13:01+02:00,10,16,24714,4,2,96954.0,32.69723378570285
68924, 2019-06-13T00:07:01+02:00,10,16,4956,4,2,97045.0,31.532555835734872
68925, 2019-06-18T20:00:01+02:00,10,16,32011,4,2,97045.0,32.534616861561744
68926, 2019-06-16T14:34:01+02:00,10,16,4580,4,2,96954.0,33.80243186383464
68927, 2019-06-18T19:18:01+02:00,10,16,24330,4,2,97015.0,31.16686124622681
68928, 2019-06-15T09:31:01+02:00,10,16,12218,4,2,97015.0,32.24400856322494
68929, 2019-06-14T09:29:01+02:00,10,16,32353,4,2,96954.0,32.82909554326436
68930, 2019-06-16T00:34:01+02:00,10,16,29110,4,2,97045.0,35.21360867689912
68931, 2019-06-17T15:18:01+02:00,10,16,18708,4,2,97015.0,33.13688103376283
68932, 2019-06-13T22:17:01+02:00,10,16,27129,4,2,97015.0,32.13269909768537
68933, 2019-06-18T11:29:01+02:00,10,16,27401,4,2,97015.0,30.507451548473476
68934, 2019-06-15T02:10:01+02:00,10,16,28992,4,2,97045.0,31.218528527888864
68935, 2019-06-19T18:17:01+02:00,10,16,32091,4,2,96984.0,31.658633565259347
68936, 2019-06-15T07:32:01+02:00,10,16,10261,4,2,97015.0,31.60397098484144
68937, 2019-06-19T23:04:01+02:00,10,16,25946,4,2,96984.0,31.269079264102785
68938, 2019-06-16T05:07:01+02:00,10,16,29868,4,2,96954.0,32.626657102627455
68939, 2019-06-17T16:49:01+02:00,10,16,23806,4,2,96954.0,34.04487358523188
68940, 2019-06-14T09:08:01+02:00,10,16,18994,4,2,96984.0,28.657394339090047
68941, 2019-06-18T12:18:01+02:00,10,16,1162,4,2,97015.0,30.874297071941054
68942, 2019-06-18T07:45:01+02:00,10,16,9416,4,2,97015.0,31.70357049192612
68943, 2019-06-13T15:17:01+02:00,10,16,12157,4,2,97015.0,33.78238246997937
68944, 2019-06-14T05:45:01+02:00,10,16,5059,4,2,96954.0,32.73264438105121
68945, 2019-06-13T04:47:01+02:00,10,16,27766,4,2,97045.0,31.903001242092493
68946, 2019-06-16T05:21:01+02:00,10,16,4410,4,2,96954.0,32.78441642396854
68947, 2019-06-15T04:44:01+02:00,10,16,23790,4,2,97045.0,31.744199603928116
68948, 2019-06-16T05:28:01+02:00,10,16,11440,4,2,97015.0,31.3860048842381
68949, 2019-06-17T11:48:01+02:00,10,16,14532,4,2,96954.0,32.59933774834437
68950, 2019-06-18T10:33:01+02:00,10,16,13867,4,2,96954.0,28.69827227015051
68951, 2019-06-14T08:40:01+02:00,10,16,26847,4,2,97015.0,31.407251398419277
68952, 2019-06-15T02:38:01+02:00,10,16,24377,4,2,97015.0,31.97822273941192
68953, 2019-06-15T01:21:01+02:00,10,16,13599,4,2,96954.0,31.90666378225133
68954, 2019-06-18T19:25:01+02:00,10,16,28274,4,2,97015.0,32.81150993569014
68955, 2019-06-19T14:19:01+02:00,10,16,7085,4,2,97015.0,33.9778888021217
68956, 2019-06-14T18:56:01+02:00,10,16,26145,4,2,97045.0,31.679744528052588
68957, 2019-06-17T22:39:01+02:00,10,16,29641,4,2,96984.0,34.94058413970654
68958, 2019-06-15T18:23:01+02:00,10,16,31511,4,2,96954.0,34.56867367574271
68959, 2019-06-15T09:24:01+02:00,10,16,12096,4,2,97015.0,32.42738115619472
68960, 2019-06-13T21:28:01+02:00,10,16,4750,4,2,96984.0,31.362910679774807
68961, 2019-06-14T11:07:01+02:00,10,16,4108,4,2,97015.0,33.17949908548907
68962, 2019-06-17T02:42:01+02:00,10,16,10321,4,2,97015.0,32.980559156799266
68963, 2019-06-16T12:00:01+02:00,10,16,4523,4,2,97076.0,31.63220249804246
68964, 2019-06-13T23:48:01+02:00,10,16,31464,4,2,96984.0,31.33163827627975
68965, 2019-06-16T10:15:01+02:00,10,16,14165,4,2,97045.0,31.67724807601956
68966, 2019-06-14T16:29:01+02:00,10,16,6080,4,2,96984.0,33.73901307234233
68967, 2019-06-14T07:37:01+02:00,10,16,1724,4,2,97045.0,29.333504087369658
68968, 2019-06-16T22:16:01+02:00,10,16,3691,4,2,97015.0,32.75068117347481
68969, 2019-06-18T17:40:01+02:00,10,16,21460,4,2,97015.0,30.949278109232438
68970, 2019-06-16T12:49:01+02:00,10,16,6263,4,2,96984.0,31.348666303756122
68971, 2019-06-19T22:01:01+02:00,10,16,10314,4,2,97015.0,34.13130695607963
68972, 2019-06-15T04:23:01+02:00,10,16,4581,4,2,97015.0,31.193098938685175
68973, 2019-06-13T01:17:01+02:00,10,16,24019,4,2,97045.0,31.636657146405067
68974, 2019-06-16T14:13:01+02:00,10,16,21185,4,2,97045.0,31.921240132554928
68975, 2019-06-17T22:25:01+02:00,30,16,7231,4,2,276458.0,34.86696651405457
68976, 2019-06-13T21:21:01+02:00,30,16,32612,4,2,276458.0,33.38838930690647
68977, 2019-06-14T17:46:01+02:00,30,16,10205,4,2,276428.0,34.05200352340906
68978, 2019-06-19T10:00:01+02:00,30,16,19960,4,2,276458.0,33.6222145112012
68979, 2019-06-17T08:18:01+02:00,30,16,30320,4,2,276458.0,36.72683972211838
68980, 2019-06-19T04:45:01+02:00,30,16,18293,4,2,276458.0,35.00095674597028
68981, 2019-06-13T19:57:01+02:00,30,16,5448,4,2,276428.0,35.225557876731855
68982, 2019-06-15T23:31:01+02:00,30,16,7256,4,2,276428.0,33.50023363509617
