test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,node_id,T_round,T_round_1slot,T_on_round,T_on_without_round,energy_savings
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,6,42175.0,14221.0,22094.0,33841.0,34.71233119588665
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,8,42175.0,14312.0,22155.0,35856.0,38.211178045515396
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,10,42144.0,14221.0,22125.0,33932.0,34.796062713662614
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,11,42175.0,14221.0,22918.0,36435.0,37.098943323727184
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,13,42144.0,14221.0,20751.0,34300.0,39.50145772594752
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,15,42022.0,14160.0,21667.0,30822.0,29.702809681396403
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,16,42144.0,14190.0,20599.0,33384.0,38.296788880901026
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,17,42144.0,14190.0,22796.0,36191.0,37.0119643005167
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,18,42236.0,14190.0,22796.0,33079.0,31.08618761147556
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,19,42144.0,14251.0,24353.0,34116.0,28.617071168952986
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,20,42175.0,14221.0,22033.0,33811.0,34.83481707136731
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,22,42175.0,14221.0,22125.0,32408.0,31.729819797580845
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,23,42175.0,14221.0,20629.0,32315.0,36.1627727061736
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,24,42144.0,14251.0,21209.0,32773.0,35.28514325816984
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,25,42175.0,14221.0,21301.0,35246.0,39.56477330760937
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,26,42175.0,14221.0,23559.0,35368.0,33.38893915403755
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,27,42205.0,14251.0,20568.0,32254.0,36.231165126805976
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,28,42175.0,14221.0,21362.0,33169.0,35.59649069914679
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,31,42175.0,14221.0,20904.0,31370.0,33.36308575071725
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,32,42144.0,14190.0,21514.0,31218.0,31.08463066179768
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,33,42175.0,14221.0,19409.0,31248.0,37.88722478238608
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,1,42144.0,14282.0,21606.0,34421.0,37.23017925103861
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,2,42175.0,14221.0,21636.0,33415.0,35.25063594194224
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,3,42175.0,14221.0,17974.0,29752.0,39.58725463834364
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,4,42175.0,14221.0,19500.0,32744.0,40.44710481309553
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,6,42175.0,14221.0,19866.0,32102.0,38.116005233318795
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,8,42175.0,14221.0,18585.0,31705.0,41.38148557009935
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,10,42144.0,14221.0,22125.0,34696.0,36.231842287295365
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,11,42205.0,14312.0,23681.0,37228.0,36.3892768883636
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,13,42175.0,14221.0,21514.0,33994.0,36.71236100488321
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,15,42022.0,14160.0,22521.0,31401.0,28.27935416069552
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,16,42144.0,14221.0,19378.0,28318.0,31.57002613178897
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,17,42144.0,14251.0,22369.0,36923.0,39.41716545242803
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,18,42175.0,14251.0,21453.0,32225.0,33.42746314972847
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,19,42144.0,14190.0,21362.0,37106.0,42.42979572036867
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,20,42175.0,14190.0,18341.0,33629.0,45.460763031906986
